timestamp,date,time,day_of_week,is_weekend,hour,solar_irradiance_wm2,temperature_c,panel_capacity_kw,panel_efficiency,solar_generation_kw,total_consumption_kw,num_households,battery_capacity_kwh,battery_soc_percent,battery_charging,battery_charge_rate_kw,battery_efficiency,grid_price_per_kwh,grid_import_kw,grid_export_kw,grid_cost_inr,grid_revenue_inr
2023-12-31T19:00:00.000Z,1/1/2024,12:30 AM,Mon,0,0,0,20,50,0.2,0,73.34,20,50,0,0,10,0.95,5.36,73.34,0,393.1,0
2023-12-31T20:00:00.000Z,1/1/2024,01:30 AM,Mon,0,1,0,20.2,50,0.199,0,72.77,20,50,0,0,10,0.95,5.58,72.77,0,406.09,0
2023-12-31T21:00:00.000Z,1/1/2024,02:30 AM,Mon,0,2,0,20.7,50,0.197,0,99.34,20,50,0,0,10,0.95,5.41,99.34,0,537.28,0
2023-12-31T22:00:00.000Z,1/1/2024,03:30 AM,Mon,0,3,0,21.5,50,0.194,0,82.77,20,50,0,0,10,0.95,5.28,82.77,0,437,0
2023-12-31T23:00:00.000Z,1/1/2024,04:30 AM,Mon,0,4,0,22.5,50,0.19,0,105.49,20,50,0,0,10,0.95,5.77,105.49,0,608.77,0
2024-01-01T00:00:00.000Z,1/1/2024,05:30 AM,Mon,0,5,0,23.7,50,0.185,0,118.49,20,50,0,0,10,0.95,6.51,118.49,0,771.71,0
2024-01-01T01:00:00.000Z,1/1/2024,06:30 AM,Mon,0,6,0,25,50,0.18,0,229.76,20,50,0,0,10,0.95,8.89,229.76,0,2043.33,0
2024-01-01T02:00:00.000Z,1/1/2024,07:30 AM,Mon,0,7,232,26.3,50,0.175,2.03,154.02,20,50,0,0,10,0.95,9.28,151.99,0,1409.82,0
2024-01-01T03:00:00.000Z,1/1/2024,08:30 AM,Mon,0,8,342,27.5,50,0.17,2.91,177.57,20,50,0,0,10,0.95,8.93,174.66,0,1560.06,0
2024-01-01T04:00:00.000Z,1/1/2024,09:30 AM,Mon,0,9,577,28.5,50,0.166,4.79,181,20,50,0,0,10,0.95,9.77,176.21,0,1720.88,0
2024-01-01T05:00:00.000Z,1/1/2024,10:30 AM,Mon,0,10,737,29.3,50,0.163,6,36.38,20,50,0,0,10,0.95,8.3,30.38,0,252.15,0
2024-01-01T06:00:00.000Z,1/1/2024,11:30 AM,Mon,0,11,732,29.8,50,0.161,5.89,37.54,20,50,0,0,10,0.95,5.99,31.65,0,189.68,0
2024-01-01T07:00:00.000Z,1/1/2024,12:30 PM,Mon,0,12,915,30,50,0.16,7.32,33.08,20,50,0,0,10,0.95,6.56,25.76,0,169.05,0
2024-01-01T08:00:00.000Z,1/1/2024,01:30 PM,Mon,0,13,709,29.8,50,0.161,5.7,36.59,20,50,0,0,10,0.95,5.54,30.89,0,171.23,0
2024-01-01T09:00:00.000Z,1/1/2024,02:30 PM,Mon,0,14,775,29.3,50,0.163,6.31,36.66,20,50,0,0,10,0.95,6.26,30.35,0,190.12,0
2024-01-01T10:00:00.000Z,1/1/2024,03:30 PM,Mon,0,15,639,28.5,50,0.166,5.3,37.96,20,50,0,0,10,0.95,6.7,32.66,0,218.91,0
2024-01-01T11:00:00.000Z,1/1/2024,04:30 PM,Mon,0,16,382,27.5,50,0.17,3.25,32.64,20,50,0,0,10,0.95,5.38,29.39,0,158.24,0
2024-01-01T12:00:00.000Z,1/1/2024,05:30 PM,Mon,0,17,182,26.3,50,0.175,1.59,38.69,20,50,0,0,10,0.95,5.07,37.1,0,188.05,0
2024-01-01T13:00:00.000Z,1/1/2024,06:30 PM,Mon,0,18,0,25,50,0.18,0,269.53,20,50,0,0,10,0.95,8.97,269.53,0,2417.9,0
2024-01-01T14:00:00.000Z,1/1/2024,07:30 PM,Mon,0,19,0,23.7,50,0.185,0,233.73,20,50,0,0,10,0.95,8.11,233.73,0,1894.61,0
2024-01-01T15:00:00.000Z,1/1/2024,08:30 PM,Mon,0,20,0,22.5,50,0.19,0,251.43,20,50,0,0,10,0.95,8.93,251.43,0,2246.11,0
2024-01-01T16:00:00.000Z,1/1/2024,09:30 PM,Mon,0,21,0,21.5,50,0.194,0,239.17,20,50,0,0,10,0.95,8.9,239.17,0,2129.56,0
2024-01-01T17:00:00.000Z,1/1/2024,10:30 PM,Mon,0,22,0,20.7,50,0.197,0,306.85,20,50,0,0,10,0.95,9.95,306.85,0,3052.7,0
2024-01-01T18:00:00.000Z,1/1/2024,11:30 PM,Mon,0,23,0,20.2,50,0.199,0,331.25,20,50,0,0,10,0.95,5.67,331.25,0,1878.29,0
2024-01-01T19:00:00.000Z,2/1/2024,12:30 AM,Tue,0,0,0,20.2,50,0.199,0,79.14,20,50,0,0,10,0.95,5.59,79.14,0,442.37,0
2024-01-01T20:00:00.000Z,2/1/2024,01:30 AM,Tue,0,1,0,20.3,50,0.199,0,71.88,20,50,0,0,10,0.95,5.64,71.88,0,405.49,0
2024-01-01T21:00:00.000Z,2/1/2024,02:30 AM,Tue,0,2,0,20.8,50,0.197,0,63.6,20,50,0,0,10,0.95,5.87,63.6,0,373.24,0
2024-01-01T22:00:00.000Z,2/1/2024,03:30 AM,Tue,0,3,0,21.6,50,0.194,0,80.05,20,50,0,0,10,0.95,6.67,80.05,0,533.68,0
2024-01-01T23:00:00.000Z,2/1/2024,04:30 AM,Tue,0,4,0,22.7,50,0.189,0,78.71,20,50,0,0,10,0.95,6.87,78.71,0,540.99,0
2024-01-02T00:00:00.000Z,2/1/2024,05:30 AM,Tue,0,5,0,23.9,50,0.184,0,85.99,20,50,0,0,10,0.95,5.33,85.99,0,458.05,0
2024-01-02T01:00:00.000Z,2/1/2024,06:30 AM,Tue,0,6,0,25.2,50,0.179,0,186.14,20,50,0,0,10,0.95,9.48,186.14,0,1764.66,0
2024-01-02T02:00:00.000Z,2/1/2024,07:30 AM,Tue,0,7,198,26.5,50,0.174,1.72,179.9,20,50,0,0,10,0.95,8.7,178.18,0,1549.26,0
2024-01-02T03:00:00.000Z,2/1/2024,08:30 AM,Tue,0,8,348,27.7,50,0.169,2.94,186.99,20,50,0,0,10,0.95,8.67,184.05,0,1596.36,0
2024-01-02T04:00:00.000Z,2/1/2024,09:30 AM,Tue,0,9,635,28.7,50,0.165,5.25,190.24,20,50,0,0,10,0.95,8.52,184.99,0,1575.91,0
2024-01-02T05:00:00.000Z,2/1/2024,10:30 AM,Tue,0,10,636,29.5,50,0.162,5.15,36.45,20,50,0,0,10,0.95,8.94,31.3,0,279.88,0
2024-01-02T06:00:00.000Z,2/1/2024,11:30 AM,Tue,0,11,764,30,50,0.16,6.11,36.73,20,50,0,0,10,0.95,5.96,30.62,0,182.44,0
2024-01-02T07:00:00.000Z,2/1/2024,12:30 PM,Tue,0,12,917,30.2,50,0.159,7.3,38.51,20,50,0,0,10,0.95,6.56,31.21,0,204.61,0
2024-01-02T08:00:00.000Z,2/1/2024,01:30 PM,Tue,0,13,668,30,50,0.16,5.34,34.5,20,50,0,0,10,0.95,5.7,29.16,0,166.25,0
2024-01-02T09:00:00.000Z,2/1/2024,02:30 PM,Tue,0,14,714,29.5,50,0.162,5.78,33.6,20,50,0,0,10,0.95,5.2,27.82,0,144.78,0
2024-01-02T10:00:00.000Z,2/1/2024,03:30 PM,Tue,0,15,563,28.7,50,0.165,4.65,31.84,20,50,0,0,10,0.95,6.02,27.19,0,163.7,0
2024-01-02T11:00:00.000Z,2/1/2024,04:30 PM,Tue,0,16,387,27.7,50,0.169,3.27,35.35,20,50,0,0,10,0.95,5.23,32.08,0,167.77,0
2024-01-02T12:00:00.000Z,2/1/2024,05:30 PM,Tue,0,17,224,26.5,50,0.174,1.95,36.82,20,50,0,0,10,0.95,6.63,34.87,0,231.24,0
2024-01-02T13:00:00.000Z,2/1/2024,06:30 PM,Tue,0,18,0,25.2,50,0.179,0,222.96,20,50,0,0,10,0.95,9.4,222.96,0,2095.26,0
2024-01-02T14:00:00.000Z,2/1/2024,07:30 PM,Tue,0,19,0,23.9,50,0.184,0,257.29,20,50,0,0,10,0.95,8.83,257.29,0,2271.24,0
2024-01-02T15:00:00.000Z,2/1/2024,08:30 PM,Tue,0,20,0,22.7,50,0.189,0,250.86,20,50,0,0,10,0.95,8.39,250.86,0,2104.99,0
2024-01-02T16:00:00.000Z,2/1/2024,09:30 PM,Tue,0,21,0,21.6,50,0.194,0,240.86,20,50,0,0,10,0.95,9.94,240.86,0,2394.95,0
2024-01-02T17:00:00.000Z,2/1/2024,10:30 PM,Tue,0,22,0,20.8,50,0.197,0,241.04,20,50,0,0,10,0.95,9.35,241.04,0,2253.71,0
2024-01-02T18:00:00.000Z,2/1/2024,11:30 PM,Tue,0,23,0,20.3,50,0.199,0,293.45,20,50,0,0,10,0.95,5.41,293.45,0,1587.41,0
2024-01-02T19:00:00.000Z,3/1/2024,12:30 AM,Wed,0,0,0,20.3,50,0.199,0,109.96,20,50,0,0,10,0.95,5.76,109.96,0,633.06,0
2024-01-02T20:00:00.000Z,3/1/2024,01:30 AM,Wed,0,1,0,20.5,50,0.198,0,109.8,20,50,0,0,10,0.95,6.29,109.8,0,690.16,0
2024-01-02T21:00:00.000Z,3/1/2024,02:30 AM,Wed,0,2,0,21,50,0.196,0,71.83,20,50,0,0,10,0.95,6.92,71.83,0,497.36,0
2024-01-02T22:00:00.000Z,3/1/2024,03:30 AM,Wed,0,3,0,21.8,50,0.193,0,93.2,20,50,0,0,10,0.95,5.65,93.2,0,526.78,0
2024-01-02T23:00:00.000Z,3/1/2024,04:30 AM,Wed,0,4,0,22.8,50,0.189,0,74.76,20,50,0,0,10,0.95,6.96,74.76,0,520.02,0
2024-01-03T00:00:00.000Z,3/1/2024,05:30 AM,Wed,0,5,0,24.1,50,0.184,0,92.95,20,50,0,0,10,0.95,5.54,92.95,0,515,0
2024-01-03T01:00:00.000Z,3/1/2024,06:30 AM,Wed,0,6,0,25.3,50,0.179,0,236.43,20,50,0,0,10,0.95,9.2,236.43,0,2175.26,0
2024-01-03T02:00:00.000Z,3/1/2024,07:30 AM,Wed,0,7,216,26.6,50,0.174,1.87,164,20,50,0,0,10,0.95,9.7,162.13,0,1572.34,0
2024-01-03T03:00:00.000Z,3/1/2024,08:30 AM,Wed,0,8,449,27.8,50,0.169,3.79,163.39,20,50,0,0,10,0.95,9.83,159.6,0,1568.68,0
2024-01-03T04:00:00.000Z,3/1/2024,09:30 AM,Wed,0,9,599,28.9,50,0.164,4.92,196.59,20,50,0,0,10,0.95,8.51,191.67,0,1631.16,0
2024-01-03T05:00:00.000Z,3/1/2024,10:30 AM,Wed,0,10,769,29.7,50,0.161,6.2,32.77,20,50,0,0,10,0.95,8.27,26.57,0,219.76,0
2024-01-03T06:00:00.000Z,3/1/2024,11:30 AM,Wed,0,11,833,30.2,50,0.159,6.63,33.01,20,50,0,0,10,0.95,5.18,26.38,0,136.54,0
2024-01-03T07:00:00.000Z,3/1/2024,12:30 PM,Wed,0,12,931,30.3,50,0.159,7.39,33.92,20,50,0,0,10,0.95,5.85,26.53,0,155.09,0
2024-01-03T08:00:00.000Z,3/1/2024,01:30 PM,Wed,0,13,848,30.2,50,0.159,6.75,31.27,20,50,0,0,10,0.95,5.4,24.52,0,132.38,0
2024-01-03T09:00:00.000Z,3/1/2024,02:30 PM,Wed,0,14,800,29.7,50,0.161,6.45,31.83,20,50,0,0,10,0.95,5.12,25.38,0,130.02,0
2024-01-03T10:00:00.000Z,3/1/2024,03:30 PM,Wed,0,15,491,28.9,50,0.164,4.04,36.37,20,50,0,0,10,0.95,5.89,32.33,0,190.55,0
2024-01-03T11:00:00.000Z,3/1/2024,04:30 PM,Wed,0,16,379,27.8,50,0.169,3.2,37.12,20,50,0,0,10,0.95,5.17,33.92,0,175.24,0
2024-01-03T12:00:00.000Z,3/1/2024,05:30 PM,Wed,0,17,238,26.6,50,0.174,2.07,36.68,20,50,0,0,10,0.95,6.52,34.61,0,225.53,0
2024-01-03T13:00:00.000Z,3/1/2024,06:30 PM,Wed,0,18,0,25.3,50,0.179,0,235.98,20,50,0,0,10,0.95,9.54,235.98,0,2251.15,0
2024-01-03T14:00:00.000Z,3/1/2024,07:30 PM,Wed,0,19,0,24.1,50,0.184,0,249.15,20,50,0,0,10,0.95,9.56,249.15,0,2381.83,0
2024-01-03T15:00:00.000Z,3/1/2024,08:30 PM,Wed,0,20,0,22.8,50,0.189,0,224.74,20,50,0,0,10,0.95,9.72,224.74,0,2183.97,0
2024-01-03T16:00:00.000Z,3/1/2024,09:30 PM,Wed,0,21,0,21.8,50,0.193,0,221.11,20,50,0,0,10,0.95,8.36,221.11,0,1848.25,0
2024-01-03T17:00:00.000Z,3/1/2024,10:30 PM,Wed,0,22,0,21,50,0.196,0,241.25,20,50,0,0,10,0.95,9.42,241.25,0,2271.92,0
2024-01-03T18:00:00.000Z,3/1/2024,11:30 PM,Wed,0,23,0,20.5,50,0.198,0,270.08,20,50,0,0,10,0.95,5.68,270.08,0,1532.92,0
2024-01-03T19:00:00.000Z,4/1/2024,12:30 AM,Thu,0,0,0,20.5,50,0.198,0,109.67,20,50,0,0,10,0.95,6.58,109.67,0,721.43,0
2024-01-03T20:00:00.000Z,4/1/2024,01:30 AM,Thu,0,1,0,20.7,50,0.197,0,135.81,20,50,0,0,10,0.95,6.05,135.81,0,821.28,0
2024-01-03T21:00:00.000Z,4/1/2024,02:30 AM,Thu,0,2,0,21.2,50,0.195,0,73.48,20,50,0,0,10,0.95,7,73.48,0,514.18,0
2024-01-03T22:00:00.000Z,4/1/2024,03:30 AM,Thu,0,3,0,22,50,0.192,0,82.78,20,50,0,0,10,0.95,6.59,82.78,0,545.34,0
2024-01-03T23:00:00.000Z,4/1/2024,04:30 AM,Thu,0,4,0,23,50,0.188,0,87.4,20,50,0,0,10,0.95,5.48,87.4,0,479.13,0
2024-01-04T00:00:00.000Z,4/1/2024,05:30 AM,Thu,0,5,0,24.2,50,0.183,0,111.91,20,50,0,0,10,0.95,6.96,111.91,0,778.54,0
2024-01-04T01:00:00.000Z,4/1/2024,06:30 AM,Thu,0,6,0,25.5,50,0.178,0,186.36,20,50,0,0,10,0.95,9.89,186.36,0,1843.22,0
2024-01-04T02:00:00.000Z,4/1/2024,07:30 AM,Thu,0,7,189,26.8,50,0.173,1.63,169.94,20,50,0,0,10,0.95,8.53,168.31,0,1435.51,0
2024-01-04T03:00:00.000Z,4/1/2024,08:30 AM,Thu,0,8,351,28,50,0.168,2.95,193.74,20,50,0,0,10,0.95,9.62,190.79,0,1834.86,0
2024-01-04T04:00:00.000Z,4/1/2024,09:30 AM,Thu,0,9,561,29.1,50,0.164,4.59,167.75,20,50,0,0,10,0.95,9.72,163.16,0,1585.19,0
2024-01-04T05:00:00.000Z,4/1/2024,10:30 AM,Thu,0,10,761,29.8,50,0.161,6.12,35.13,20,50,0,0,10,0.95,9.6,29.01,0,278.62,0
2024-01-04T06:00:00.000Z,4/1/2024,11:30 AM,Thu,0,11,691,30.3,50,0.159,5.49,33.03,20,50,0,0,10,0.95,6.67,27.54,0,183.65,0
2024-01-04T07:00:00.000Z,4/1/2024,12:30 PM,Thu,0,12,732,30.5,50,0.158,5.78,33.39,20,50,0,0,10,0.95,6.68,27.61,0,184.51,0
